original_story,reordered_story,reason
"Marci was walking her dog through the neighborhood | The dog started sniffing intently under a bush | When he pulled his head out, Marci could see something in his mouth | She tried tried to pull it out, but the dog wouldn't let go | Before she could try again, the dog had already eaten it","Marci was walking her dog through the neighborhood | The dog started sniffing intently under a bush | When he pulled his head out, Marci could see something in his mouth | She tried to pull it out, but the dog wouldn't let go | Before she could try again, the dog had already eaten it",not a permutation of any gold story
Joe was a high school student | Joe was very popular | Joe wanted to prom king | Joe told everyone to vote for him | Joe was prom king,Joe was a high school student | Joe was very popular | Joe wanted to be prom king | Joe told everyone to vote for him | Joe was prom king,not a permutation of any gold story
"Sue talked her husband into getting goats | He built a pen to hold the goats | He brought home a couple goats from a nearby farmer | Sue bent to greet one of the goats | As she did, the other goat butted her, knocking Due to the ground","Sue talked her husband into getting goats | He brought home a couple goats from a nearby farmer | He built a pen to hold the goats | Sue bent to greet one of the goats | As she did, the other goat butted her, knocking her to the ground",not a permutation of any gold story
"Guillermo was very poor | So he started to steal | He was successful at first | One day, he lingered to long in a store | And was apprehended by a local police man","Guillermo was very poor | So he started to steal | He was successful at first | One day, he lingered too long in a store | And was apprehended by a local police man",not a permutation of any gold story
Jeb is a good worker at his retail store | He is not making enough money to clothe his kids | Jeb decides to take a few extra clothes from the racks | Jeb is caught with them walking out the door | Jeb is fired and arrested for theft,Jeb is a good worker at his retail store | Jeb is not making enough money to clothe his kids | Jeb decides to take a few extra clothes from the racks | Jeb is caught with them walking out the door | Jeb is fired and arrested for theft,not a permutation of any gold story
"Our calm flight home to New York had a a suddenly eventful ending | As the plane touched down, there was an abrupt slip and slide | In the slow motion of fear, the tail section glided out of control | Mud splattered the windows as we stopped with a grinding jolt | The plane slid off a wet runway into the grass, but no one was hurt","Our calm flight home to New York had a suddenly eventful ending | As the plane touched down, there was an abrupt slip and slide | In the slow motion of fear, the tail section glided out of control | Mud splattered the windows as we stopped with a grinding jolt | The plane slid off a wet runway into the grass, but no one was hurt",not a permutation of any gold story
"I went to buy a soda from the soda machine | However, I didn't have enough money | As I walked away, I found another quarter on the floor | I picked it up and used it to buy my soda | What luck!","However, I didn't have enough money | I walked away, no -  I went to buy a soda from the soda machine | I picked it up and used it to buy my soda | As I walked away, I found another quarter on the floor | What luck!",not a permutation of any gold story
Tim set an alarm to go to work | It went off at the right time | He thought he hit the snooze button | Unfortunately he shut it off | Tim was late to work,It went off at the right time | Tim thought he hit the snooze button | Unfortunately he shut it off | Tim set an alarm to go to work | Tim was late to work,not a permutation of any gold story
The cat strolled through the house | It found something funny | There was a pink ball on the floor | The cat swatted the ball | The cat liked playing with the ball,There was a pink ball on the floor | The cat strolled through the house | The cat found the ball and liked playing with the ball | The cat swatted the ball | It found something funny,not a permutation of any gold story
Yesterday I went out and got some sour candy | I knocked myself out with candy | When I got some I realized my tongue was hurting | I ate too much | I had to slow it down,Yesterday I went out and got some sour candy | I got some I realized my tongue was hurting | I ate too much | I knocked myself out with candy | I had to slow it down,not a permutation of any gold story
"Tom wanted to watch a movie | He owned many great movies on DVD | He could not decide which one to watch | He put all of his DVD's in a pile | He closed his eyes and randomly selected one, he enjoyed it","Tom wanted to watch a movie | He owned many great movies on DVD | He put all of his DVD's in a pile | He closed his eyes and randomly selected one, he enjoyed it",wrong sentence count
"Richard's favorite animals were foxes | He decided to build a trap, so he could he a fox as a pet | Richard's mom asked where he was going with all of his tools | When he told her, she said foxes were wild and would make bad pets | Richard threw away his trap and asked for a dog instead","Richard's favorite animals were foxes | Richard's mom asked where he was going with all of his tools | He decided to build a trap, so he could have a fox as a pet | When he told her, she said foxes were wild and would make bad pets | Richard threw away his trap and asked for a dog instead",not a permutation of any gold story
Bill like to play basketball | He played it whenever he could | He was was playing with friend one day when he jumped up for a dunk | But he landed on the side of his foot | He could play for months because of his broken ankle,Bill like to play basketball | He played it whenever he could | He was playing with friend one day when he jumped up for a dunk | But he landed on the side of his foot | He could play for months because of his broken ankle,not a permutation of any gold story
Tara wanted her dog to be warm in the winter | He dog always shivered | She found a warm dog outfit | She dressed him in it | Her dog doesn't shiver anymore,Tara wanted her dog to be warm in the winter | Her dog always shivered | She found a warm dog outfit | She dressed him in it | Her dog doesn't shiver anymore,not a permutation of any gold story
Jamie had been writing all day | She was writing an important paper for history class | She turned it in and felt anxious | She couldn't wait to see her grade | She knew she had done a bad job on it,Jamie had been writing all day | She turned it in and felt anxious | She knew she had done a bad job on it | She couldn't wait to see her grade,wrong sentence count
Fernando noticed his boots were getting old | He decided to buy a new pair | Fernando found a great pair of new boots | He loved them | Fernando was happy he no longer had old boots,Fernando noticed his boots were getting old | Fernando decided to buy a new pair | Fernando found a great pair of new boots | He loved them | Fernando was happy he no longer had old boots,not a permutation of any gold story
Colleen signed up for surfing lessons | There were a lot of people at her first lesson | She recognized her neighbor just a few feet away from her | Colleen and her neighbor became close | They often surfed the waves together at the beach,Colleen signed up for surfing lessons | Colleen recognized her neighbor just a few feet away from her | There were a lot of people at her first lesson | Colleen and her neighbor became close | They often surfed the waves together at the beach,not a permutation of any gold story
Lisa tried online dating | She is forty-one years old and gets feedback from guys younger | Her friend recommended a dating site designed for people over forty | Lisa signed up and after one week she was impressed | She met a man who was a professional photographer,Lisa is forty-one years old and gets feedback from guys younger | Her friend recommended a dating site designed for people over forty | Lisa tried online dating | Lisa signed up and after one week she was impressed | She met a man who was a professional photographer,not a permutation of any gold story
Jim was riding in his boat | He saw dark clouds start to roll in overhead | Jim began to make his way to the dock | He docked his boat and put it on his trailer | It began to ran as Jim left,Jim began to make his way to the dock | He saw dark clouds start to roll in overhead | Jim was riding in his boat | It began to rain as Jim left | He docked his boat and put it on his trailer,not a permutation of any gold story
"Tyesha favorite band is paramore | SHe found out they are performing in the next week | She quickly went online to buy tickets | Next week comes, she attends the concert | She ends up having the time of her life","Tyesha favorite band is paramore | She found out they are performing in the next week | She quickly went online to buy tickets | Next week comes, she attends the concert | She ends up having the time of her life",not a permutation of any gold story
Sally was taking a guitar class at school | The teacher was laid back and the class wasn't structured | All you had to do was learn a whole packed of songs by the end | Sally decided to get it all done immediately | She finished the booklet in two days,Sally was taking a guitar class at school | The teacher was laid back and the class wasn't structured | All you had to do was learn a whole pack of songs by the end | Sally decided to get it all done immediately | She finished the booklet in two days,not a permutation of any gold story
"I bought a retro toy called Fluffkin | I bought the purple haired doll home in its original box yesterday | I placed it on the mantle, hoping it would attract questions | My children have fallen in love with it, and asked to play with it | It ended up lying on the floor, covered in sticky stuff","I bought the purple haired doll home in its original box yesterday | I placed it on the mantle, hoping it would attract questions | My children have fallen in love with it, and asked to play with it | It ended up lying on the floor, covered in sticky stuff",wrong sentence count
Hallie got a pair of pink rain boots | She wore them wore them when it was rainy | She wore them when it was sunny | They ended up giving her blisters on both her feet | She now only wears them when it is wet outside,Hallie got a pair of pink rain boots | She wore them when it was sunny | She wore them when it was rainy | They ended up giving her blisters on both her feet | She now only wears them when it is wet outside,not a permutation of any gold story
Rob took his son fishing | The went out in the boat in the pond | Rob helped his son cast his line | The little boy threw out the line and felt a tug | He caught a five pound catfish!,Rob took his son fishing | They went out in the boat in the pond | The little boy threw out the line and felt a tug | Rob helped his son cast his line | He caught a five pound catfish!,not a permutation of any gold story
My old car was not working anymore | I decided I would get a new one | I went to the dealership | I listened to the salesman's pitch | He helped me find the car or my dreams!,My old car was not working anymore | I decided I would get a new one | I went to the dealership | I listened to the salesman's pitch | He helped me find the car of my dreams!,not a permutation of any gold story
The blacksmith took the glowing metal out of the fire | He held it with his pliers and placed it on the anvil | The hammer blows rang through his shop | The metal took the form he wanted | He plunged the form I you a bucket of water with a satisfying hiss,The blacksmith took the glowing metal out of the fire | He held it with his pliers and placed it on the anvil | The hammer blows rang through his shop | The metal took the form he wanted | He plunged the form into a bucket of water with a satisfying hiss,not a permutation of any gold story
Jim wanted to open up a taco truck | He bought a used truck off of craigslist | Jim refurbished the truck to fit a kitchen | He started selling tacos on the street | Jim's business became successful and he became rich,Jim wanted to open up a taco truck | He bought a used truck off of craigslist | He refurbished the truck to fit a kitchen | He started selling tacos on the street | Jim's business became successful and he became rich,not a permutation of any gold story
"Barbara bought her first computer for school | She was familiar with using her brother's computer | He set it up for her | When she used it for the first time, she found a surprise | He made her desktop background a picture of Justin Bieber","Barbara bought her first computer for school | He set it up for her | He made her desktop background a picture of Justin Bieber | When she used it for the first time, she found a surprise",wrong sentence count
Some stray dogs were in Joe's backyard | He yelled at them to leave but they wouldn't | He tried to scare them but the still wouldn't leave | He threw his shoe at them | One dog picked it up and ran away,Some stray dogs were in Joe's backyard | He tried to scare them but they still wouldn't leave | He yelled at them to leave but they wouldn't | He threw his shoe at them | One dog picked it up and ran away,not a permutation of any gold story
helen loved all of her children but her oldest son was a problem | He was in and out of prison his whole life and Helen felt responsible | She was a good mother but he was just destined for problems | One day he came to his mother and apologized for disappointing her | He changed his ways after that and Helen could forgive herself,Helen loved all of her children but her oldest son was a problem | He was in and out of prison his whole life and Helen felt responsible | She was a good mother but he was just destined for problems | One day he came to his mother and apologized for disappointing her | He changed his ways after that and Helen could forgive herself,not a permutation of any gold story
"The couple laid on a blanket outside | They enjoyed seeing the stars | They looked for constellations | When the sky got too cloudy, the went inside | They loved their romantic, star-gazing nights","The couple laid on a blanket outside | They enjoyed seeing the stars | They looked for constellations | When the sky got too cloudy, they went inside | They loved their romantic, star-gazing nights",not a permutation of any gold story
Bill went to the mall to buy clothes | A mall vendor stopped Bill as he went to the clothes store | He tried to sell Bill a candle but Bill resisted him | Bill left and bought his clothes | He felt bad about the vendor so he returned and bought a candle,A mall vendor stopped Bill as he went to the clothes store | He tried to sell Bill a candle but Bill resisted him | Bill left and bought his clothes | Bill felt bad about the vendor so he returned and bought a candle,wrong sentence count
"I let the dog out this morning | I told her to go use the bathroom | Instead, she went and laid in the grass | I couldn't find her for a while | I got scared when I say her lying there","I let the dog out this morning | I told her to go use the bathroom | Instead, she went and laid in the grass | I couldn't find her for a while | I got scared when I saw her lying there",not a permutation of any gold story
"Tina became mad when Jeff didn't tell her where he went out | When drew came home, the door was locked | He tried to call Tina to open the door | However, she didn't pick up | Overall, he ended up staying the night with a close friend","Tina became mad when Jeff didn't tell her where he went out | Jeff went out and ended up staying the night with a close friend | When he came home, the door was locked | He tried to call Tina to open the door | However, she didn't pick up",not a permutation of any gold story
Ben bought four cans of blue paint | It was a beautiful day to paint his fence | His wife helped him | After they were done the sat on their porch and admired their work | Ben felt very gratified,It was a beautiful day to paint his fence | Ben bought four cans of blue paint | His wife helped him | After they were done they sat on their porch and admired their work | Ben felt very gratified,not a permutation of any gold story
"Zack's son wanted a bike for his birthday | But he knew he couldn't afford one | While Zack waited at a bus stop one day, he saw a bike with no lock | So he grabbed it and took in on the bus with him | When Zack's son got the bike for his birthday, he was ecstatic","But he knew he couldn't afford one | While Zack waited at a bus stop one day, he saw a bike with no lock | So he grabbed it and took it on the bus with him | Zack's son wanted a bike for his birthday | When Zack's son got the bike for his birthday, he was ecstatic",not a permutation of any gold story
"I have always been better than average at art, especially drawing | The last three years, I have dedicated some time to get great at it | I'm pretty good now, and I'm honestly being humble | Looking back, learning art concepts was ridiculously easy | I can't believe how long I took it took me to learn these concepts","I have always been better than average at art, especially drawing | Looking back, learning art concepts was ridiculously easy | I can't believe how long it took me to learn these concepts | The last three years, I have dedicated some time to get great at it | I'm pretty good now, and I'm honestly being humble",not a permutation of any gold story
"Dan recently adopted a new dog | Dan decided the dog would stay in the backyard | However, Dan's yard was not completely fenced in | Dan decided to finish fencing in the yard so the dog can roam freely | Once finished, Dan was pleased to see his dog enjoying the backyard","Dan recently adopted a new dog | Dan's yard was not completely fenced in | Dan decided to finish fencing in the yard so the dog can roam freely | Dan decided the dog would stay in the backyard | Once finished, Dan was pleased to see his dog enjoying the backyard",not a permutation of any gold story
"We have two cameras | One is a point and shoot | Another is a bridge camera | Both cameras have shutter lag and slow flash recharging | We bought a newer, faster camera this week","One is a point and shoot | Another is a bridge camera | Both cameras have shutter lag and slow flash recharging | We bought a newer, faster camera this week",wrong sentence count
Fred applied for a new job | The company called him back to schedule an interview | They told him so fax a resume before he came | Fred panicked because he didn't know where to find a fax machine | He just gave up on the job because he didn't know where to look,Fred applied for a new job | The company called him back to schedule an interview | They told him to fax a resume before he came | Fred panicked because he didn't know where to find a fax machine | He just gave up on the job because he didn't know where to look,not a permutation of any gold story
"I took my girlfriend on a beach trip | I wanted to have a fun time laughing on the shore | However, I could not figure out where to park | When I found a place to park, I didn't have change for the meter | I drove home disappointed that my night didn't go as planned","I took my girlfriend on a beach trip | I could not figure out where to park | When I found a place to park, I didn't have change for the meter | I wanted to have a fun time laughing on the shore | I drove home disappointed that my night didn't go as planned",not a permutation of any gold story
"Jim became lost in the woods | He ran to the right, and the to the left | He ran uphill and down, but to no avail | He started to cry, convinced he'd die | His Mom found him and brought him home safely","Jim became lost in the woods | He ran to the right, and then to the left | He ran uphill and down, but to no avail | He started to cry, convinced he'd die | His Mom found him and brought him home safely",not a permutation of any gold story
Jack went to his first day of highschool | He was very nervous before he walked in the door | He ended up having a panic attack when he walked in | He went straight to the nurse | The nurse gave him a slip to go home,Jack went to his first day of highschool | He was very nervous before he walked in the door | He walked in | He ended up having a panic attack when he walked in | He went straight to the nurse | The nurse gave him a slip to go home,wrong sentence count
"Jessica woke up and looked out her window | All she could she was a wonderful blanket of white snow | She got up, got dressed, and ran outside | Jessica had so much fun sledding and making snow angels | She can't wait to get up and do it again tomorrow","Jessica woke up and looked out her window | All she could see was a wonderful blanket of white snow | She got up, got dressed, and ran outside | Jessica had so much fun sledding and making snow angels | She can't wait to get up and do it again tomorrow",not a permutation of any gold story
Tom clogged his drain at his home | Tom was an environmentalist | Tom did not want to by Draino | Tom wanted to care for the environment | Tom eventually caved and bought Draino to solve the problem,Tom was an environmentalist | Tom wanted to care for the environment | Tom clogged his drain at his home | Tom did not want to buy Draino | Tom eventually caved and bought Draino to solve the problem,not a permutation of any gold story
"I wanted to eat some apples | So, I went to the store | I bought four red apples | Alas, when I got home I realized that two were rotten | I decided to never again shop at that store","I wanted to eat some apples | I went to the store | I bought four red apples | Alas, when I got home I realized that two were rotten | I decided to never again shop at that store",not a permutation of any gold story
Gina's friend Drea was so angry she hung up on her | Gina caller back she didn't answer | After a week Gina called Drea again | She still didn't answer | Gina realized their friendship was over,Gina's friend Drea was so angry she hung up on her | Gina caller back she didn't answer | She still didn't answer | Gina called Drea again | Gina realized their friendship was over,not a permutation of any gold story
The family tied their luggage to the roof | One of the roped came loose | A bag flew off of the car | It landed in front of another car | It caused a big accident,The family tied their luggage to the roof | One of the ropes came loose | A bag flew off of the car | It landed in front of another car | It caused a big accident,not a permutation of any gold story
Andrew realized his car was filthy | So Andrew decided to wash his car | Andrew filled up buckets full of soup and water | He began to wipe down his car | It took Andrew twenty minutes to was his car and it looked brand new,Andrew realized his car was filthy | So Andrew decided to wash his car | Andrew filled up buckets full of soap and water | He began to wipe down his car | It took Andrew twenty minutes to wash his car and it looked brand new,not a permutation of any gold story
I was driving around a neighborhood | I saw my friend outside his house | He had a large hose | Water was coming out if it | He was draining his pool,I was driving around a neighborhood | I saw my friend outside his house | He had a large hose | He was draining his pool | Water was coming out of it,not a permutation of any gold story
"Mike and Jake were trying to make Sally happy | She said she would be said forever, since her boyfriend left | So they took her to her favorite restaurant | They told the waiter it was her birthday, so they brought a cake | It wasn't her birthday, but they got a cake, Sally cracked a big smile","She said she would be sad forever, since her boyfriend left | So they took her to her favorite restaurant | Mike and Jake were trying to make Sally happy | They told the waiter it was her birthday, so they brought a cake | It wasn't her birthday, but they got a cake, Sally cracked a big smile",not a permutation of any gold story
Ted usually would get hungry way before his lunch time | He wanted to start having breakfast | Ted never had time for breakfast | He started to have a granola bar and glass of milk going to work | He was much less hungry in the morning,Ted wanted to start having breakfast | Ted never had time for breakfast | Ted usually would get hungry way before his lunch time | He started to have a granola bar and glass of milk going to work | He was much less hungry in the morning,not a permutation of any gold story
A burglar broke into Jeff's house | He stole his jewelry and several other personal items | Jeff called the cops and tried to stop the thief | The thief ended up escaping from the house | The cops showed up 5 minutes later\,A burglar broke into Jeff's house | He stole his jewelry and several other personal items | Jeff called the cops and tried to stop the thief | The cops showed up 5 minutes later | The thief ended up escaping from the house,not a permutation of any gold story
"Ben was at the park | He was feeling very hot | To cool off, his mom bought him at ice cream cone | The ice cream started melting right away | Soon, the ice cream was all over Ben","Ben was at the park | He was feeling very hot | To cool off, his mom bought him an ice cream cone | The ice cream started melting right away | Soon, the ice cream was all over Ben",not a permutation of any gold story
