original_story,reordered_story
The boy went to a video arcade | He played his favorite machine | His games didn't go very well | He told the owner about his experience | The owner explained that he had made the game settings harder,The boy went to a video arcade | He played his favorite machine | His games didn't go very well | He told the owner about his experience | The owner explained that he had made the game settings harder
"Jimmy was a big fan of cricket | In summer, his dad took him to a local cricket match | The match lasted all day | In the end, Jimmy's local team won by only 2 runs | Jimmy knew he'd never see such a close game of cricket again","Jimmy was a big fan of cricket | In summer, his dad took him to a local cricket match | The match lasted all day | In the end, Jimmy's local team won by only 2 runs | Jimmy knew he'd never see such a close game of cricket again"
The baby shook from the cold room | His mother turned up the heat | The nurses kept turning it back down | She was angry that they were making him uncomfortable | She told the doctor she wanted to go home,She was angry that they were making him uncomfortable | His mother turned up the heat | The nurses kept turning it back down | The baby shook from the cold room | She told the doctor she wanted to go home
"Luke didn't want to pay 15 dollars for a movie | He made his way to the back of the theater | He noticed a couple of teenagers sneaking in the back exit | He went and stood by the door, waiting | It never opened","Luke didn't want to pay 15 dollars for a movie | He made his way to the back of the theater | He noticed a couple of teenagers sneaking in the back exit | He went and stood by the door, waiting | It never opened"
Kara was very close to her mother when she was growing up | Kara went off to college after high school | Her mother was single so she was worried about her | Kara came home for the holidays | When she walked in the house she found her mom dead on the floor,Her mother was single so she was worried about her | Kara was very close to her mother when she was growing up | Kara went off to college after high school | Kara came home for the holidays | When she walked in the house she found her mom dead on the floor
"My instructor told me to do several laps around the track | I asked for a drink afterwards, but he told me no | I was forced to do several push-ups | He told me to stop as soon as I fell on the floor | I walked into the locker room feeling sore","I was forced to do several push-ups | My instructor told me to do several laps around the track | He told me to stop as soon as I fell on the floor | I walked into the locker room feeling sore | I asked for a drink afterwards, but he told me no"
"Bob was doing the dishes | Bob wasn't paying attention and dropped a plate | The plate broke as it hit the ground | Bob cleaned up the mess with a vacuum cleaner | Afterwards, he dumped the broken pieces into the trash","Bob was doing the dishes | Bob wasn't paying attention and dropped a plate | The plate broke as it hit the ground | Bob cleaned up the mess with a vacuum cleaner | Afterwards, he dumped the broken pieces into the trash"
"My wife gets blueberry muffins from the local supermarket | The batter varies from yellow to dark blue in color | Today, the batter was blue, my favorite | My wife was not pleased as yellow is her favorite | I said maybe it will be yellow tomorrow","The batter varies from yellow to dark blue in color | I said maybe it will be yellow tomorrow | Today, the batter was blue, my favorite | My wife was not pleased as yellow is her favorite | My wife gets blueberry muffins from the local supermarket"
"The soda hit the ground hard | She sighed in frustration that she had ruined it | Picking it up, she put it back in the car | Later she went to get a soda | She forgot, and it fizzed all over her","She forgot, and it fizzed all over her | Later she went to get a soda | The soda hit the ground hard | Picking it up, she put it back in the car | She sighed in frustration that she had ruined it"
Katie decided to learn to make yogurt | She bought a gadget that was supposed to help her | It was very confusing and difficult | Katie threw it away and decided to just buy yogurt | It tasted better when it was from the store,She bought a gadget that was supposed to help her | It was very confusing and difficult | Katie decided to learn to make yogurt | It tasted better when it was from the store | Katie threw it away and decided to just buy yogurt
"Ann wanted to be a fashion model | She saw a notice that a modeling agent was coming to town | Ann went on a crash diet to look like a model | She went to the agent, feeling hungry but fashion model thin | The agent took one look and said Ann was too short to model","Ann wanted to be a fashion model | She saw a notice that a modeling agent was coming to town | Ann went on a crash diet to look like a model | She went to the agent, feeling hungry but fashion model thin | The agent took one look and said Ann was too short to model"
Lucy was running from an angry old man | She had been playing with his puppy before he got angry | She ran for blocks without looking back | When she stopped she didn't recognize the houses | Adrenaline ran through her veins as she realized she was lost,She had been playing with his puppy before he got angry | Lucy was running from an angry old man | She ran for blocks without looking back | When she stopped she didn't recognize the houses | Adrenaline ran through her veins as she realized she was lost
Dan wanted to buy a new car | He went out on a nearby lot to shop around | They had a model that really appealed to Dan | Dan signed the paperwork and made a downpayment | Dan drove away with a brand new BMW,Dan wanted to buy a new car | He went out on a nearby lot to shop around | They had a model that really appealed to Dan | Dan signed the paperwork and made a downpayment | Dan drove away with a brand new BMW
Adam got a new job | He was going to transcribe data | He was pushed type fast | He won lots of awards | They promoted Adam,He was going to transcribe data | He was pushed type fast | He won lots of awards | They promoted Adam | Adam got a new job
"Julie decided to run a lemonade stand to earn money for toys | She painted a big sturdy box bright colors for a table | Her mom helped by making a sign | On a hot summer day, they made several pitchers of lemonade | Julie bought a new toy with money she made selling to the neighbors","Julie decided to run a lemonade stand to earn money for toys | Her mom helped by making a sign | On a hot summer day, they made several pitchers of lemonade | She painted a big sturdy box bright colors for a table | Julie bought a new toy with money she made selling to the neighbors"
