"story_id","gold","shuffled","model_reordered"
"0","The boy went to a video arcade | He played his favorite machine | His games didn't go very well | He told the owner about his experience | The owner explained that he had made the game settings harder","He told the owner about his experience | He played his favorite machine | His games didn't go very well | The owner explained that he had made the game settings harder | The boy went to a video arcade","The boy went to a video arcade | He played his favorite machine | His games didn't go very well | He told the owner about his experience | The owner explained that he had made the game settings harder"
"1","Jimmy was a big fan of cricket | In summer, his dad took him to a local cricket match | The match lasted all day | In the end, Jimmy's local team won by only 2 runs | Jimmy knew he'd never see such a close game of cricket again","In the end, Jimmy's local team won by only 2 runs | The match lasted all day | Jimmy was a big fan of cricket | Jimmy knew he'd never see such a close game of cricket again | In summer, his dad took him to a local cricket match","Jimmy was a big fan of cricket | In summer, his dad took him to a local cricket match | The match lasted all day | In the end, Jimmy's local team won by only 2 runs | Jimmy knew he'd never see such a close game of cricket again"
"2","The baby shook from the cold room | His mother turned up the heat | The nurses kept turning it back down | She was angry that they were making him uncomfortable | She told the doctor she wanted to go home","She was angry that they were making him uncomfortable | His mother turned up the heat | The nurses kept turning it back down | The baby shook from the cold room | She told the doctor she wanted to go home","The baby shook from the cold room | His mother turned up the heat | The nurses kept turning it back down | She was angry that they were making him uncomfortable | She told the doctor she wanted to go home"
"3","Luke didn't want to pay 15 dollars for a movie | He made his way to the back of the theater | He noticed a couple of teenagers sneaking in the back exit | He went and stood by the door, waiting | It never opened","He made his way to the back of the theater | He noticed a couple of teenagers sneaking in the back exit | He went and stood by the door, waiting | It never opened | Luke didn't want to pay 15 dollars for a movie","Luke didn't want to pay 15 dollars for a movie | He made his way to the back of the theater | It never opened | He noticed a couple of teenagers sneaking in the back exit | He went and stood by the door, waiting"
"4","Kara was very close to her mother when she was growing up | Kara went off to college after high school | Her mother was single so she was worried about her | Kara came home for the holidays | When she walked in the house she found her mom dead on the floor","When she walked in the house she found her mom dead on the floor | Kara came home for the holidays | Her mother was single so she was worried about her | Kara was very close to her mother when she was growing up | Kara went off to college after high school","Kara was very close to her mother when she was growing up | Kara went off to college after high school | Her mother was single so she was worried about her | Kara came home for the holidays | When she walked in the house she found her mom dead on the floor"
"5","My instructor told me to do several laps around the track | I asked for a drink afterwards, but he told me no | I was forced to do several push-ups | He told me to stop as soon as I fell on the floor | I walked into the locker room feeling sore","I was forced to do several push-ups | I asked for a drink afterwards, but he told me no | My instructor told me to do several laps around the track | He told me to stop as soon as I fell on the floor | I walked into the locker room feeling sore","My instructor told me to do several laps around the track | I was forced to do several push-ups | He told me to stop as soon as I fell on the floor | I asked for a drink afterwards, but he told me no | I walked into the locker room feeling sore"
"6","Bob was doing the dishes | Bob wasn't paying attention and dropped a plate | The plate broke as it hit the ground | Bob cleaned up the mess with a vacuum cleaner | Afterwards, he dumped the broken pieces into the trash","Bob wasn't paying attention and dropped a plate | Bob cleaned up the mess with a vacuum cleaner | Bob was doing the dishes | The plate broke as it hit the ground | Afterwards, he dumped the broken pieces into the trash","Bob was doing the dishes | Bob wasn't paying attention and dropped a plate | The plate broke as it hit the ground | Bob cleaned up the mess with a vacuum cleaner | Afterwards, he dumped the broken pieces into the trash"
"7","My wife gets blueberry muffins from the local supermarket | The batter varies from yellow to dark blue in color | Today, the batter was blue, my favorite | My wife was not pleased as yellow is her favorite | I said maybe it will be yellow tomorrow","I said maybe it will be yellow tomorrow | My wife gets blueberry muffins from the local supermarket | The batter varies from yellow to dark blue in color | Today, the batter was blue, my favorite | My wife was not pleased as yellow is her favorite","The batter varies from yellow to dark blue in color | My wife gets blueberry muffins from the local supermarket | Today, the batter was blue, my favorite | My wife was not pleased as yellow is her favorite | I said maybe it will be yellow tomorrow"
"8","The soda hit the ground hard | She sighed in frustration that she had ruined it | Picking it up, she put it back in the car | Later she went to get a soda | She forgot, and it fizzed all over her","She forgot, and it fizzed all over her | Later she went to get a soda | The soda hit the ground hard | Picking it up, she put it back in the car | She sighed in frustration that she had ruined it","Later she went to get a soda | The soda hit the ground hard | Picking it up, she put it back in the car | She forgot, and it fizzed all over her | She sighed in frustration that she had ruined it"
"9","Katie decided to learn to make yogurt | She bought a gadget that was supposed to help her | It was very confusing and difficult | Katie threw it away and decided to just buy yogurt | It tasted better when it was from the store","It tasted better when it was from the store | It was very confusing and difficult | She bought a gadget that was supposed to help her | Katie decided to learn to make yogurt | Katie threw it away and decided to just buy yogurt","Katie decided to learn to make yogurt | She bought a gadget that was supposed to help her | It was very confusing and difficult | It tasted better when it was from the store | Katie threw it away and decided to just buy yogurt"
