"original_story","reordered_story"
"The boy went to a video arcade | He played his favorite machine | His games didn't go very well | He told the owner about his experience | The owner explained that he had made the game settings harder","The boy went to a video arcade | He played his favorite machine | His games didn't go very well | He told the owner about his experience | The owner explained that he had made the game settings harder"
"Jimmy was a big fan of cricket | In summer, his dad took him to a local cricket match | The match lasted all day | In the end, Jimmy's local team won by only 2 runs | Jimmy knew he'd never see such a close game of cricket again","Jimmy was a big fan of cricket | In summer, his dad took him to a local cricket match | The match lasted all day | In the end, Jimmy's local team won by only 2 runs | Jimmy knew he'd never see such a close game of cricket again"
"The baby shook from the cold room | His mother turned up the heat | The nurses kept turning it back down | She was angry that they were making him uncomfortable | She told the doctor she wanted to go home","The baby shook from the cold room | His mother turned up the heat | The nurses kept turning it back down | She was angry that they were making him uncomfortable | She told the doctor she wanted to go home"
"Luke didn't want to pay 15 dollars for a movie | He made his way to the back of the theater | He noticed a couple of teenagers sneaking in the back exit | He went and stood by the door, waiting | It never opened","Luke didn't want to pay 15 dollars for a movie | He made his way to the back of the theater | He noticed a couple of teenagers sneaking in the back exit | He went and stood by the door, waiting | It never opened"
"Kara was very close to her mother when she was growing up | Kara went off to college after high school | Her mother was single so she was worried about her | Kara came home for the holidays | When she walked in the house she found her mom dead on the floor","Kara was very close to her mother when she was growing up | Kara went off to college after high school | Her mother was single so she was worried about her | Kara came home for the holidays | When she walked in the house she found her mom dead on the floor"
"My instructor told me to do several laps around the track | I asked for a drink afterwards, but he told me no | I was forced to do several push-ups | He told me to stop as soon as I fell on the floor | I walked into the locker room feeling sore","My instructor told me to do several laps around the track | He told me to stop as soon as I fell on the floor | I was forced to do several push-ups | I asked for a drink afterwards, but he told me no | I walked into the locker room feeling sore"
"Bob was doing the dishes | Bob wasn't paying attention and dropped a plate | The plate broke as it hit the ground | Bob cleaned up the mess with a vacuum cleaner | Afterwards, he dumped the broken pieces into the trash","Bob was doing the dishes | Bob wasn't paying attention and dropped a plate | The plate broke as it hit the ground | Bob cleaned up the mess with a vacuum cleaner | Afterwards, he dumped the broken pieces into the trash"
"My wife gets blueberry muffins from the local supermarket | The batter varies from yellow to dark blue in color | Today, the batter was blue, my favorite | My wife was not pleased as yellow is her favorite | I said maybe it will be yellow tomorrow","My wife gets blueberry muffins from the local supermarket | The batter varies from yellow to dark blue in color | Today, the batter was blue, my favorite | My wife was not pleased as yellow is her favorite | I said maybe it will be yellow tomorrow"
"The soda hit the ground hard | She sighed in frustration that she had ruined it | Picking it up, she put it back in the car | Later she went to get a soda | She forgot, and it fizzed all over her","Later she went to get a soda | The soda hit the ground hard | Picking it up, she put it back in the car | She forgot, and it fizzed all over her | She sighed in frustration that she had ruined it"
"Katie decided to learn to make yogurt | She bought a gadget that was supposed to help her | It was very confusing and difficult | Katie threw it away and decided to just buy yogurt | It tasted better when it was from the store","Katie decided to learn to make yogurt | She bought a gadget that was supposed to help her | It was very confusing and difficult | It tasted better when it was from the store | Katie threw it away and decided to just buy yogurt"
